"CASE_ENQUIRY_ID","open_dt","TARGET_DT","closed_dt","OnTime","CASE_STATUS","CLOSURE_REASON","CASE_TITLE","SUBJECT","REASON","TYPE","QUEUE","Department","SubmittedPhoto","ClosedPhoto","Location","Fire_district","pwd_district","city_council_district","police_district","neighborhood","neighborhood_services_district","ward","precinct","LOCATION_STREET_NAME","LOCATION_ZIPCODE","Latitude","Longitude","Source"
101000398891,"2012-03-22 13:47:55","","2012-03-26 15:32:53","ONTIME","Closed","Case Closed Case Resolved All BWSC manholes secure 3/23. ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","BWSC_All Cases","BWSC","","","116-118 Prince St  Boston  MA  02113",3,"1B",1,"A1","Downtown / Financial District",3,"Ward 3","0304","116-118 Prince St",2113,42.366,-71.0569,"Constituent Call"
101000400287,"2012-03-26 11:11:48","","2012-03-27 14:40:57","ONTIME","Closed","Case Closed Case Noted BWSC reports unable to locate issue being reported. ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","INFO_Reallocation From Dept","INFO","","","11A Eugene Cir  Mission Hill  MA  02120",9,"10A",8,"E13","Mission Hill",11,"Ward 10","1008","11A Eugene Cir",2120,42.328,-71.1091,"Constituent Call"
101000400776,"2012-03-27 09:21:29","","2012-11-09 16:25:46","ONTIME","Closed","Case Closed Case Resolved Sidewalk repaired 10/2012    Michael Somers  Senior Civil Engineer  Construction Management Division  Boston Public Works  617-635-3831 ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","PWDx_Sidewalk Repair","PWDx","","","INTERSECTION of Christopher St & Dorchester Ave  Dorchester  MA  ",7,"07",3,"C11","Dorchester",7,"Ward 16","1601","INTERSECTION Christopher St & Dorchester Ave",NA,42.2982,-71.0608,"Constituent Call"
101000407518,"2012-04-12 07:21:02","","2013-04-05 11:01:44","ONTIME","Closed","Case Closed Case Resolved Veiola had a leak on a pipe that fed the steam pipe BWSC assisted by shutting down the water pipe feeding the steam pipe.  Completed on 4/05/12 ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","INFO01_GenericeFormforOtherServiceRequestTypes","INFO","","","650 Harrison Ave  Roxbury  MA  02118",4,"1C",2,"D4","Roxbury",6,"08","0801","650 Harrison Ave",2118,42.3395,-71.0692,"Constituent Call"
101000407862,"2012-04-12 15:32:24","","2012-04-13 13:49:21","ONTIME","Closed","Case Closed Case Noted A BWSC contractor is working here. The cover is there and barricaded with 2 orange barrels while work being done 4/12. ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","BWSC_All Cases","BWSC","","","INTERSECTION of I St & E Third St  South Boston  MA  ",6,"05",2,"C6","South Boston / South Boston Waterfront",5,"Ward 6","0605","INTERSECTION I St & E Third St",NA,42.3364,-71.04,"Constituent Call"
101000408555,"2012-04-15 03:10:04","","2013-04-05 11:38:20","ONTIME","Closed","Case Closed Case Resolved Routine maintenece sewer down and running 4/15/12 ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","INFO01_GenericeFormforOtherServiceRequestTypes","INFO","","","45-47 Chatham St  Boston  MA  02109",3,"1B",1,"A1","Downtown / Financial District",3,"Ward 3","0306","45-47 Chatham St",2109,42.3594,-71.0554,"Constituent Call"
101000408609,"2012-04-15 12:17:36","","2012-04-17 13:58:11","ONTIME","Closed","Case Closed Case Resolved A BWSC crew was here on 4/15/12  found no odor  flushed and disinfected catch basins on Baxter St. ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","BWSC_All Cases","BWSC","","","INTERSECTION of Baxter St & D St  South Boston  MA  ",6,"05",2,"C6","South Boston / South Boston Waterfront",5,"Ward 6","0602","INTERSECTION Baxter St & D St",NA,42.3359,-71.0543,"Constituent Call"
101000410718,"2012-04-20 10:05:05","","2012-04-20 16:37:34","ONTIME","Closed","Case Closed Case Noted No issue found upon inspection ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","BWSC_All Cases","BWSC","","","INTERSECTION of Webster St & Walter St  Hyde Park  MA  ",12,"08",5,"E18","Hyde Park",10,"Ward 18","1813","INTERSECTION Webster St & Walter St",NA,42.2575,-71.1197,"Constituent Call"
101000413373,"2012-04-26 13:43:43","","2012-04-30 08:16:41","ONTIME","Closed","Case Closed Case Resolved Crew replaced buffalo box cover 4/26. ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","BWSC_All Cases","BWSC","","","INTERSECTION of Chamber St & Warren St  Charlestown  MA  ",3,"1A",1,"A15","Charlestown",2,"Ward 2","0201","INTERSECTION Chamber St & Warren St",NA,42.3722,-71.0605,"Constituent Call"
101000413399,"2012-04-26 14:14:32","","2012-04-30 08:16:17","ONTIME","Closed","Case Closed Case Resolved Crew replaced buffalo box cover 4/26. ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","BWSC_All Cases","BWSC","","","65 Chelsea St  East Boston  MA  02128",1,"09",1,"A7","East Boston",1,"Ward 1","0104","65 Chelsea St",2128,42.3715,-71.0366,"Constituent Call"
101000413617,"2012-04-27 08:08:50","","2012-10-17 13:13:21","ONTIME","Closed","Case Closed Case Noted Administratively closed due to age of case. ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","BTDT_Administration","BTDT","","","360 Newbury St  Boston  MA  02115",4,"1C",8,"D4","Back Bay",14,"Ward 5","0509","360 Newbury St",2115,42.348,-71.0876,"Constituent Call"
101000414124,"2012-04-28 04:04:23","","2012-05-07 14:45:15","ONTIME","Closed","Case Closed Case Resolved Crew raised buffalo box to grade 5/2. ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","BWSC_All Cases","BWSC","","","131 Oliver St  Boston  MA  02110",6,"1C",1,"A1","Downtown / Financial District",3,"03","0306","131 Oliver St",2110,42.3552,-71.0525,"Constituent Call"
101000415072,"2012-04-30 19:17:30","","2012-05-02 09:25:43","ONTIME","Closed","Case Closed Case Noted Dept reports no loose cover found ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","INFO_Reallocation From Dept","INFO","","","3553-3557 Washington St  Jamaica Plain  MA  02130",9,"02",6,"E13","Jamaica Plain",11,"Ward 11","1108","3553-3557 Washington St",2130,42.3047,-71.1095,"Constituent Call"
101000417107,"2012-05-04 10:44:44","","2012-05-09 09:01:53","ONTIME","Closed","Case Closed Case Noted Crew found no missing or broken cover in area 5/4. ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","BWSC_All Cases","BWSC","","","INTERSECTION of Chelsea St & Constitution Rd  Charlestown  MA  ",3,"1A",1,"A15","Charlestown",2,"Ward 2","0202","INTERSECTION Chelsea St & Constitution Rd",NA,42.3737,-71.0583,"Constituent Call"
101000417929,"2012-05-07 10:08:50","","2012-05-10 15:33:05","ONTIME","Closed","Case Closed Case Resolved Dug and repaired service pipe leak 5/9/12. ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","BWSC_All Cases","BWSC","","","70-72 Bennington St  East Boston  MA  02128",1,"09",1,"A7","East Boston",1,"Ward 1","0106","70-72 Bennington St",2128,42.376,-71.0364,"Constituent Call"
101000424441,"2012-05-18 19:29:36","","2013-04-05 12:23:55","ONTIME","Closed","Case Closed Case Noted Closd due to time lapse.  Please resubmit if issure persists. ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","INFO_Reallocation From Dept","INFO","","","INTERSECTION of Washington St & Winship St  Brighton  MA  ",11,"04",9,"D14","Allston / Brighton",15,"Ward 22","2203","INTERSECTION Washington St & Winship St",NA,42.3489,-71.1507,"Constituent Call"
101000434087,"2012-06-08 12:31:34","","2012-08-08 23:06:21","ONTIME","Closed","Case Closed Case Resolved CASE RESOLVED PULLBOX HAS BEEN REPAIRED ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","PWDx_Street Light_General Lighting Request","PWDx","","","149 Bowen St  South Boston  MA  02127",6,"05",2,"C6","South Boston",5,"06","0602","149 Bowen St",2127,42.337,-71.0527,"Constituent Call"
101000434984,"2012-06-11 11:32:51","","2012-06-12 09:48:42","ONTIME","Closed","Case Closed Case Invalid Crew investigated the area on 6/11 and found all BWSC covers ok. ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","BWSC_All Cases","BWSC","","","INTERSECTION of Belvidere St & Huntington Ave  Boston  MA  ",4,"1C",2,"D4","Back Bay",6,"Ward 4","0402","INTERSECTION Belvidere St & Huntington Ave",NA,42.3454,-71.0818,"Constituent Call"
101000442513,"2012-06-28 09:15:26","","2013-04-05 12:25:08","ONTIME","Closed","Case Closed Case Noted Closed due to time lapse.  Please resubmit if issue persists. ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","INFO_Reallocation From Dept","INFO","","","INTERSECTION of Mount Vernon St & Walnut St  Boston  MA  ",3,"1B",8,"A1","Beacon Hill",14,"Ward 5","0503","INTERSECTION Mount Vernon St & Walnut St",NA,42.3583,-71.0663,"Constituent Call"
101000443556,"2012-06-30 14:44:48","","2012-07-10 09:29:36","ONTIME","Closed","Case Closed Case Resolved Broke out repaired manhole chamber  backfilled and patched 7/5. ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","BWSC_All Cases","BWSC","","","63-65 Gordon Ave  Hyde Park  MA  02136",12,"08",5,"E18","Hyde Park",10,"Ward 18","1812","63-65 Gordon Ave",2136,42.258,-71.1277,"Constituent Call"
101000448706,"2012-07-12 09:07:46","","2012-11-16 15:39:16","ONTIME","Closed","Case Closed Case Resolved cover resealed on 7/19/12 ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","BWSC_All Cases","BWSC","","","INTERSECTION of Saratoga St & Teragram St  East Boston  MA  ",1,"09",1,"A7","East Boston",1,"Ward 1","0112","INTERSECTION Saratoga St & Teragram St",NA,42.384,-70.9993,"Constituent Call"
101000450226,"2012-07-16 10:54:20","","2012-07-16 15:14:16","ONTIME","Closed","Case Closed Case Noted The complaint was investigated  all manholes on E Street were in place.  Our contractor is working on F Street at Bolton  inspecting the sewer system.  Contractor was at the upstream manhole  downstream manhole was barricaded.   This may be the location?   The manholes on E Street were fine. ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","BWSC_All Cases","BWSC","","","INTERSECTION of Bolton St & E St  South Boston  MA  ",6,"05",2,"C6","South Boston / South Boston Waterfront",5,"Ward 6","0603","INTERSECTION Bolton St & E St",NA,42.3389,-71.0481,"Constituent Call"
101000451710,"2012-07-18 17:36:00","","2012-07-20 08:46:36","ONTIME","Closed","Case Closed Case Noted Crew found no loose or missing cover on arrival 7/18. ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","BWSC_All Cases","BWSC","","","40 New Sudbury St  Boston  MA  02114",3,"1B",1,"A1","Boston",3,"03","0306","40 New Sudbury St",2114,42.3618,-71.0603,"Constituent Call"
101000452879,"2012-07-20 12:49:22","","2012-07-23 12:16:02","ONTIME","Closed","Case Closed Case Resolved Crew sealed m/h cover 7/20. ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","BWSC_All Cases","BWSC","","","INTERSECTION of Colgate Rd & Washington St  Roslindale  MA  ",12,"02",5,"E5","Roslindale",10,"Ward 19","1911","INTERSECTION Colgate Rd & Washington St",NA,42.2933,-71.1208,"Constituent Call"
101000453127,"2012-07-20 21:28:35","","2012-07-23 10:20:34","ONTIME","Closed","Case Closed Case Resolved Hydrant gate box cover sticking up put back on 7/20. ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","BWSC_All Cases","BWSC","","","30 Darling St  Mission Hill  MA  02120",9,"10A",8,"B2","Mission Hill",14,"Ward 10","1003","30 Darling St",2120,42.3315,-71.1056,"Constituent Call"
101000453449,"2012-07-22 18:33:12","","2012-07-23 10:19:32","ONTIME","Closed","Case Closed Case Referred to External Agency  BWSC Crew found 3 Trigen m/h?s off stood by until trigen was on site 7/22. ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","BWSC_All Cases","BWSC","","","INTERSECTION of Lomasney Way & Martha Rd  Boston  MA  ",3,"1B",8,"A1","Downtown / Financial District",3,"Ward 3","0305","INTERSECTION Lomasney Way & Martha Rd",NA,42.3658,-71.0649,"Constituent Call"
101000453656,"2012-07-23 10:08:05","","2013-07-11 17:39:06","ONTIME","Closed","Case Closed Case Noted ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","PWDx_Street Light_General Lighting Request","PWDx","","","131 Dartmouth St  Boston  MA  02116",4,"1C",2,"D4","Boston",6,"04","0402","131 Dartmouth St",2116,42.3466,-71.0754,"Constituent Call"
101000455410,"2012-07-25 17:46:39","","2012-07-26 09:05:05","ONTIME","Closed","Case Closed Case Noted There is a 14x16 that was loose cut out ready to be paved. Construction working here they will send inspector to check on it. 7/25 ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","BWSC_All Cases","BWSC","","","INTERSECTION of Dakota St & Washington St  Dorchester  MA  ",8,"03",4,"C11","Dorchester",9,"Ward 17","1701","INTERSECTION Dakota St & Washington St",NA,42.2985,-71.073,"Constituent Call"
101000458220,"2012-07-31 13:26:06","","2012-08-01 15:52:24","ONTIME","Closed","Case Closed Case Resolved Catch basin repaired 8/1/12 ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","BWSC_All Cases","BWSC","","","INTERSECTION of Merrimac St & New Chardon St  Boston  MA  ",3,"1B",1,"A1","Downtown / Financial District",3,"Ward 3","0306","INTERSECTION Merrimac St & New Chardon St",NA,42.363,-71.0597,"Constituent Call"
101000461814,"2012-08-08 10:06:10","","2012-08-13 13:11:46","ONTIME","Closed","Case Closed Case Resolved ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","INFO01_GenericeFormforOtherServiceRequestTypes","INFO","","","8 Kittredge St  Roslindale  MA  02131",12,"06",5,"E5","Roslindale",10,"Ward 18","1810","8 Kittredge St",2131,42.2849,-71.1293,"Constituent Call"
101000462443,"2012-08-09 13:00:25","","2012-08-13 12:37:19","ONTIME","Closed","Case Closed Case Resolved Leak repaired 8/12. ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","BWSC_All Cases","BWSC","","","INTERSECTION of Francis St & Huntington Ave  Boston  MA  ",4,"10A",8,"B2","Mission Hill",14,"Ward 10","1003","INTERSECTION Francis St & Huntington Ave",NA,42.3342,-71.1049,"Constituent Call"
101000465026,"2012-08-15 11:14:10","","2012-08-21 12:41:42","ONTIME","Closed","Case Closed Case Noted BWSC reports location under Brookline jurisdiction.  ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","INFO_Reallocation From Dept","INFO","","","INTERSECTION of Corey St & Lagrange St  West Roxbury  MA  ",NA,"06",6,"E5","West Roxbury",12,"Ward 20","2017","INTERSECTION Corey St & Lagrange St",NA,42.3003,-71.1698,"Constituent Call"
101000468766,"2012-08-23 11:22:13","","2012-08-24 09:24:08","ONTIME","Closed","Case Closed Case Resolved Crew sealed 2 loose manhole covers. 8/23/12 ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","BWSC_All Cases","BWSC","","","INTERSECTION of Florence St & Sherwood St  Roslindale  MA  ",12,"02",5,"E5","Roslindale",10,"Ward 19","1913","INTERSECTION Florence St & Sherwood St",NA,42.2864,-71.1204,"Constituent Call"
101000471890,"2012-08-30 11:28:48","","2012-08-31 15:25:13","ONTIME","Closed","Case Closed Case Resolved Crew sealed a loose manhole cover 8/30/12 ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","BWSC_All Cases","BWSC","","","INTERSECTION of Florence St & Sherwood St  Roslindale  MA  ",12,"02",5,"E5","Roslindale",10,"Ward 19","1913","INTERSECTION Florence St & Sherwood St",NA,42.2864,-71.1204,"Constituent Call"
101000474192,"2012-09-04 19:57:50","","2012-09-05 09:01:53","ONTIME","Closed","Case Closed Case Resolved Crew sealed manhole cover 9/4. ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","BWSC_All Cases","BWSC","","","272 Faneuil St  Brighton  MA  02135",11,"04",9,"D14","Allston / Brighton",15,"Ward 22","2210","272 Faneuil St",2135,42.3524,-71.1613,"Constituent Call"
101000474965,"2012-09-06 11:00:17","","2012-09-07 11:04:22","ONTIME","Closed","Case Closed Case Resolved A BWSC crew sealed and replaced loose A2 cover on 9/6. ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","BWSC_All Cases","BWSC","","","INTERSECTION of Florence St & Sherwood St  Roslindale  MA  ",12,"02",5,"E5","Roslindale",10,"Ward 19","1913","INTERSECTION Florence St & Sherwood St",NA,42.2864,-71.1204,"Constituent Call"
101000475384,"2012-09-07 08:22:21","","2012-09-19 09:47:38","ONTIME","Closed","Case Closed Case Resolved Contractor repaired CB 9/14. ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","BWSC_All Cases","BWSC","","","INTERSECTION of Belvidere St & Saint Cecilia St  Boston  MA  ",4,"1C",8,"D4","Back Bay",14,"Ward 4","0406","INTERSECTION Belvidere St & Saint Cecilia St",NA,42.3464,-71.0867,"Constituent Call"
101000480534,"2012-09-18 09:19:51","","2012-09-25 13:30:27","ONTIME","Closed","Case Closed Case Resolved Cleaned 2 CB?s 9/20. ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","BWSC_All Cases","BWSC","","","9 Swift Ter  East Boston  MA  02128",1,"09",1,"A7","East Boston",1,"Ward 1","0110","9 Swift Ter",2128,42.3804,-71.0222,"Constituent Call"
101000483012,"2012-09-22 21:56:52","","2013-03-01 10:55:56","ONTIME","Closed","Case Closed Case Noted Sorry for delayed response to your case.  If issue persists  please contact Mayor's Office at 635-4500.  Thank you. ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","INFO_Reallocation From Dept","INFO","","","INTERSECTION of Beacon St & Fairfield St  Boston  MA  ",4,"1C",8,"D4","Back Bay",14,"Ward 5","0508","INTERSECTION Beacon St & Fairfield St",NA,42.3525,-71.0835,"Constituent Call"
101000489031,"2012-10-05 17:19:31","","2012-10-09 10:27:23","ONTIME","Closed","Case Closed Case Resolved A BWSC crew sealed 3 covers on 10/9. ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","BWSC_All Cases","BWSC","","","INTERSECTION of Florence St & Sherwood St  Roslindale  MA  ",12,"02",5,"E5","Roslindale",10,"Ward 19","1913","INTERSECTION Florence St & Sherwood St",NA,42.2864,-71.1204,"Constituent Call"
